project_name,session_type,stimulus_category,_id,name,subject_id,genotype,date_of_birth,age,sex,species,modality,session_id,session_number,session_date,session_start_time,session_end_time,rig_id,mouse_platform,targeted_structure,n_planes,imaging_depths_um,depth_min_um,depth_max_um,n_coupled_pairs,frame_rate_hz,n_frames,n_rois_total,n_soma_total,n_rois_min,n_rois_max,image_set,n_stimulus_presentations,n_trials,epoch_labels,stimulus_labels,data_level,pipeline_version,n_data_processes,has_original_metadata,raw_matches_processed,processing_date
LearningmFISHTask1A,TRAINING_2_gratings_flashed,flashed_gratings,ec60ac42-ca36-43df-8f35-b5e6417f40a6,multiplane-ophys_800792_2025-07-30_13-59-33_processed_2026-08-19_00-51-07,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,115,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-07-30_13-59-33,6,2025-07-30,13:59:33.670874,15:00:21.649554,MESO.2,disc,VISp,8,40|84|116|160|200|244|280|308,40,308,4,10.63,39189,561,519,49,92,,4806.0,784.0,spontaneous|change_detection,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,False,True,2026-08-19
LearningmFISHTask1A,TRAINING_2_gratings_flashed,flashed_gratings,f469200b-6092-419b-b7cc-bf0c0dfbb45f,multiplane-ophys_800792_2025-07-31_12-37-11_processed_2026-08-19_00-51-09,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,116,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-07-31_12-37-11,7,2025-07-31,12:37:11.683607,13:37:53.089777,MESO.2,disc,VISp,8,32|86|112|152|190|236|272|300,32,300,4,10.63,39118,591,544,46,90,,4798.0,632.0,spontaneous|change_detection,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,TRAINING_3_images_A_10uL_reward,flashed_images,57e5216f-c87d-416f-aa09-c10085e483f8,multiplane-ophys_800792_2025-08-04_11-43-33_processed_2026-08-19_00-51-15,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,120,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-04_11-43-33,8,2025-08-04,11:43:33.514901,12:44:15.972061,MESO.2,disc,VISp,8,38|86|116|160|196|236|270|302,38,302,4,10.63,39130,622,566,58,100,A,4799.0,722.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_3_images_A_10uL_reward,flashed_images,c17672cd-d812-47db-a0d3-4032027da99a,multiplane-ophys_800792_2025-08-05_11-15-02_processed_2026-08-19_00-50-49,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,121,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-05_11-15-02,9,2025-08-05,11:15:02.446528,12:15:51.775808,MESO.2,disc,VISp,8,40|82|108|156|188|240|262|300,40,300,4,10.63,39204,546,508,54,83,A,4808.0,589.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,False,True,2026-08-19
LearningmFISHTask1A,TRAINING_3_images_A_10uL_reward,flashed_images,6996af6d-a471-478b-a527-fbdb095e6293,multiplane-ophys_800792_2025-08-07_14-21-47_processed_2026-08-19_00-51-04,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,123,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-07_14-21-47,10,2025-08-07,14:21:47.637135,15:22:28.610065,MESO.2,disc,VISp,8,36|88|112|160|194|242|272|304,36,304,4,10.63,39114,571,522,44,89,A,4797.0,787.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_3_images_A_10uL_reward,flashed_images,93165cbd-7a3e-4974-92f4-51e6e7e252c6,multiplane-ophys_800792_2025-08-08_14-53-57_processed_2026-08-19_00-52-00,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,124,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-08_14-53-57,11,2025-08-08,14:53:57.861510,15:54:44.839580,MESO.2,disc,VISp,8,42|92|120|158|188|234|268|298,42,298,4,10.63,39178,553,519,44,88,A,4805.0,830.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_4_images_A_training,flashed_images,17d6f214-abb1-4d3d-9c07-1e079ddccdcb,multiplane-ophys_800792_2025-08-11_12-59-01_processed_2026-08-19_00-52-18,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,127,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-11_12-59-01,12,2025-08-11,12:59:01.649956,13:59:42.121926,MESO.2,disc,VISp,8,32|80|116|148|198|236|278|304,32,304,4,10.63,39109,619,582,52,90,A,4796.0,707.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,TRAINING_5_images_A_epilogue,flashed_images,23e88633-a5d4-49c3-89f1-802a92560e2b,multiplane-ophys_800792_2025-08-12_12-34-34_processed_2026-08-19_00-52-40,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,128,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-12_12-34-34,13,2025-08-12,12:34:34.689169,13:49:40.014119,MESO.2,disc,VISp,8,36|82|110|150|182|248|260|288,36,288,4,10.63,48399,583,541,53,82,A,4802.0,668.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,42,True,True,2026-08-19
Learning mFISH-V1omFISH,TRAINING_5_images_A_handoff_ready,flashed_images,b9c9f695-5a1d-41c2-bf0f-3b12792f8693,multiplane-ophys_800792_2025-08-13_14-25-39_processed_2026-08-19_00-52-36,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,129,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-13_14-25-39,14,2025-08-13,14:25:39.850006,15:40:43.505916,MESO.2,disc,VISp,8,40|90|120|160|196|244|274|302,40,302,4,10.63,48381,585,539,51,92,A,4800.0,597.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_1_images_A,familiar_images,2bbe6b60-7bf5-4b2c-ad39-961fdeeb9a27,multiplane-ophys_800792_2025-08-14_14-29-33_processed_2026-08-19_00-52-51,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,130,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-14_14-29-33,15,2025-08-14,14:29:33.191287,15:44:36.279797,MESO.2,disc,VISp,8,40|86|118|160|196|248|280|314,40,314,4,10.63,48375,596,547,52,95,A,4799.0,572.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_1_images_A,familiar_images,c22783c7-929c-4b92-9cf8-8ca803486d67,multiplane-ophys_800792_2025-08-15_15-13-09_processed_2026-08-19_00-52-47,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,131,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-15_15-13-09,16,2025-08-15,15:13:09.794164,16:28:13.633004,MESO.2,disc,VISp,8,36|92|114|160|190|238|272|302,36,302,4,10.63,48383,579,535,43,96,A,4800.0,684.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_4_images_B,novel_images,bb888782-9cbb-47a4-990d-27bbfc1245cf,multiplane-ophys_800792_2025-08-18_14-43-32_processed_2026-08-19_00-53-45,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,134,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-18_14-43-32,17,2025-08-18,14:43:32.159080,15:58:40.768370,MESO.2,disc,VISp,8,36|82|116|156|198|242|272|306,36,306,4,10.63,48434,597,543,53,91,B,4807.0,685.0,spontaneous|change_detection|natural_movie_one,im000|im031|im035|im045|im054|im073|im075|im106|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_4_images_B,novel_images,bd64c7c0-3395-4bdf-a1a2-e25ecddf7c52,multiplane-ophys_800792_2025-08-19_13-08-51_processed_2026-08-19_00-53-37,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,135,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-19_13-08-51,18,2025-08-19,13:08:51.115447,14:23:54.787677,MESO.2,disc,VISp,8,30|76|104|146|186|230|258|300,30,300,4,10.63,48381,570,529,51,91,B,4800.0,662.0,spontaneous|change_detection|natural_movie_one,im000|im031|im035|im045|im054|im073|im075|im106|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_6_images_B,novel_extinction,1b49673a-bb2b-4201-8c6f-6cadca6895aa,multiplane-ophys_800792_2025-08-20_14-43-42_processed_2026-08-19_00-53-44,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,136,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-20_14-43-42,19,2025-08-20,14:43:42.136068,15:58:45.190768,MESO.2,disc,VISp,8,36|82|112|156|190|240|272|296,36,296,4,10.63,48375,589,531,57,92,B,4799.0,585.0,spontaneous|change_detection|natural_movie_one,im000|im031|im035|im045|im054|im073|im075|im106|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_6_images_B,novel_extinction,09d9d1e5-c1fe-4368-8e43-3c261ff718ba,multiplane-ophys_800792_2025-08-21_14-34-02_processed_2026-08-19_00-53-28,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,137,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-21_14-34-02,20,2025-08-21,14:34:02.870120,15:49:06.492790,MESO.2,disc,VISp,8,50|96|124|164|198|254|276|314,50,314,4,10.63,48381,502,460,44,81,B,4800.0,545.0,spontaneous|change_detection|natural_movie_one,im000|im031|im035|im045|im054|im073|im075|im106|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,OPHYS_6_images_B,novel_extinction,3d4877c8-e075-4293-99b9-9ceedb16ad0a,multiplane-ophys_800792_2025-08-22_14-37-56_processed_2026-08-19_00-53-35,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,138,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-22_14-37-56,21,2025-08-22,14:37:56.417073,15:53:04.559413,MESO.2,disc,VISp,8,36|84|114|152|190|238|272|298,36,298,4,10.63,48429,559,514,49,85,B,4806.0,524.0,spontaneous|change_detection|natural_movie_one,im000|im031|im035|im045|im054|im073|im075|im106|omitted,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,STAGE_0,natural_movies,8cc530a3-a279-4efd-8820-cd3ab70459f3,multiplane-ophys_800792_2025-08-25_13-00-38_processed_2026-08-19_00-55-51,800792,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2025-04-06,141,Female,Mus musculus,pophys|behavior,multiplane-ophys_800792_2025-08-25_13-00-38,22,2025-08-25,13:00:38.344076,14:17:16.292896,MESO.2,disc,VISp,8,34|86|112|154|190|236|272|300,34,300,4,10.63,49394,583,535,50,97,,137370.0,,ds_warped_15_Session_0_00|ds_warped_15_Session_0_01|ds_warped_15_Session_0_02|ds_warped_15_Session_0_03|ds_warped_15_Session_0_04|ds_warped_15_Session_0_05|ds_warped_15_Session_0_06|ds_warped_15_Session_0_07|ds_warped_15_Session_0_08|ds_warped_15_Session_0_09|ds_warped_15_Session_0_10|ds_warped_15_Session_0_11|ds_warped_15_Session_0_12|ds_warped_15_Session_0_13|ds_warped_15_Session_0_14|ds_warped_15_Session_0_15|ds_warped_15_Session_0_16|ds_warped_15_Session_0_17|ds_warped_15_Session_0_18|ds_warped_15_Session_0_19|ds_warped_15_Session_0_20|ds_warped_15_Session_0_21|ds_warped_15_Session_0_22|ds_warped_15_Session_0_23|ds_warped_15_Session_0_24|ds_warped_15_Session_0_25|ds_warped_15_Session_0_26|ds_warped_15_Session_0_27|ds_warped_15_Session_test_0_0|ds_warped_15_Session_0_28|ds_warped_15_Session_0_29|ds_warped_15_Session_0_30|ds_warped_15_Session_0_31|ds_warped_15_Session_0_32|ds_warped_15_Session_0_33|ds_warped_15_Session_0_34|ds_warped_15_Session_0_35|ds_warped_15_Session_0_36|ds_warped_15_Session_0_37|ds_warped_15_Session_0_38|ds_warped_15_Session_0_39|ds_warped_15_Session_0_40|ds_warped_15_Session_0_41|ds_warped_15_Session_0_42|ds_warped_15_Session_0_43|ds_warped_15_Session_0_44|ds_warped_15_Session_0_45|ds_warped_15_Session_0_46|ds_warped_15_Session_0_47|ds_warped_15_Session_0_48|ds_warped_15_Session_0_49|ds_warped_15_Session_0_50|ds_warped_15_Session_0_51|ds_warped_15_Session_0_52|ds_warped_15_Session_0_53|ds_warped_15_Session_0_54,ds_warped_15_Session_0_00|ds_warped_15_Session_0_01|ds_warped_15_Session_0_02|ds_warped_15_Session_0_03|ds_warped_15_Session_0_04|ds_warped_15_Session_0_05|ds_warped_15_Session_0_06|ds_warped_15_Session_0_07|ds_warped_15_Session_0_08|ds_warped_15_Session_0_09|ds_warped_15_Session_0_10|ds_warped_15_Session_0_11|ds_warped_15_Session_0_12|ds_warped_15_Session_0_13|ds_warped_15_Session_0_14|ds_warped_15_Session_0_15|ds_warped_15_Session_0_16|ds_warped_15_Session_0_17|ds_warped_15_Session_0_18|ds_warped_15_Session_0_19|ds_warped_15_Session_0_20|ds_warped_15_Session_0_21|ds_warped_15_Session_0_22|ds_warped_15_Session_0_23|ds_warped_15_Session_0_24|ds_warped_15_Session_0_25|ds_warped_15_Session_0_26|ds_warped_15_Session_0_27|ds_warped_15_Session_0_28|ds_warped_15_Session_0_29|ds_warped_15_Session_0_30|ds_warped_15_Session_0_31|ds_warped_15_Session_0_32|ds_warped_15_Session_0_33|ds_warped_15_Session_0_34|ds_warped_15_Session_0_35|ds_warped_15_Session_0_36|ds_warped_15_Session_0_37|ds_warped_15_Session_0_38|ds_warped_15_Session_0_39|ds_warped_15_Session_0_40|ds_warped_15_Session_0_41|ds_warped_15_Session_0_42|ds_warped_15_Session_0_43|ds_warped_15_Session_0_44|ds_warped_15_Session_0_45|ds_warped_15_Session_0_46|ds_warped_15_Session_0_47|ds_warped_15_Session_0_48|ds_warped_15_Session_0_49|ds_warped_15_Session_0_50|ds_warped_15_Session_0_51|ds_warped_15_Session_0_52|ds_warped_15_Session_0_53|ds_warped_15_Session_0_54|ds_warped_15_Session_test_0_0,derived,v1,50,True,True,2026-08-19
